HomeTeam,AwayTeam,FTHG,FTAG,FTR
Udinese,Sassuolo,1,2,A
Cremonese,Genoa,0,0,D
Parma,Verona,2,1,H
Torino,Bologna,1,2,A
Napoli,Roma,2,2,D
Cagliari,Lecce,0,2,A
Milan,Como,1,1,D
Sassuolo,Verona,3,0,H
Juventus,Como,0,2,A
Lecce,Inter,0,2,A
Cagliari,Lazio,0,0,D
Genoa,Torino,3,0,H
Atalanta,Napoli,2,1,H
Milan,Parma,0,1,A
Roma,Cremonese,3,0,H
Fiorentina,Pisa,1,0,H
Bologna,Udinese,1,0,H
Parma,Cagliari,1,1,D
Como,Lecce,3,1,H
Verona,Napoli,1,2,A
Inter,Genoa,2,0,H
Cremonese,Milan,0,2,A
Sassuolo,Atalanta,2,1,H
Torino,Lazio,2,0,H
Roma,Juventus,3,3,D
Pisa,Bologna,0,1,A
Udinese,Fiorentina,3,0,H
Napoli,Torino,2,1,H
Cagliari,Como,1,2,A
Atalanta,Udinese,2,2,D
Juventus,Pisa,4,0,H
Lecce,Cremonese,2,1,H
Bologna,Verona,1,2,A
Fiorentina,Parma,0,0,D
Genoa,Roma,2,1,H
Milan,Inter,1,0,H
Lazio,Sassuolo,2,1,H
Torino,Parma,4,1,H
Inter,Atalanta,1,1,D
Napoli,Lecce,2,1,H
Udinese,Juventus,0,1,A
Verona,Genoa,0,2,A
Pisa,Cagliari,3,1,H
Sassuolo,Bologna,0,1,A
Como,Roma,2,1,H
Lazio,Milan,1,0,H
Cremonese,Fiorentina,1,4,A
Cagliari,Napoli,0,1,A
Genoa,Udinese,0,2,A
Parma,Cremonese,0,2,A
Milan,Torino,3,2,H
Juventus,Sassuolo,1,1,D
Como,Pisa,5,0,H
Atalanta,Verona,1,0,H
Bologna,Lazio,0,2,A
Roma,Lecce,1,0,H
Fiorentina,Inter,1,1,D
Sassuolo,Cagliari,2,1,H
Verona,Fiorentina,0,1,A
Lazio,Parma,1,1,D
Cremonese,Bologna,1,2,A
Pisa,Torino,0,1,A
Inter,Roma,5,2,H
Udinese,Como,0,0,D
Lecce,Atalanta,0,3,A
Juventus,Genoa,2,0,H
Napoli,Milan,1,0,H
Roma,Pisa,3,0,H
Cagliari,Cremonese,1,0,H
Torino,Verona,2,1,H
Milan,Udinese,0,3,A
Atalanta,Juventus,0,1,A
Genoa,Sassuolo,2,1,H
Parma,Napoli,1,1,D
Bologna,Lecce,2,0,H
Como,Inter,3,4,A
Fiorentina,Lazio,1,0,H
Sassuolo,Como,2,1,H
Inter,Cagliari,3,0,H
Udinese,Parma,0,1,A
Napoli,Lazio,0,2,A
Roma,Atalanta,1,1,D
Cremonese,Torino,0,0,D
Verona,Milan,0,1,A
Pisa,Genoa,1,2,A
